Pincode,District,StateName,Population,
110001,DELHI,Delhi,16753235,Y
110002,DELHI,Delhi,16753235,Y
110003,DELHI,Delhi,16753235,Y
110004,DELHI,Delhi,16753235,Y
110005,DELHI,Delhi,16753235,Y
110006,DELHI,Delhi,16753235,Y
110007,DELHI,Delhi,16753235,Y
110008,DELHI,Delhi,16753235,Y
110009,DELHI,Delhi,16753235,Y
110010,DELHI,Delhi,16753235,Y
110011,DELHI,Delhi,16753235,Y
110012,DELHI,Delhi,16753235,Y
110013,DELHI,Delhi,16753235,Y
110014,DELHI,Delhi,16753235,Y
110015,DELHI,Delhi,16753235,Y
110016,DELHI,Delhi,16753235,Y
110017,DELHI,Delhi,16753235,Y
110018,DELHI,Delhi,16753235,Y
110019,DELHI,Delhi,16753235,Y
110020,DELHI,Delhi,16753235,Y
110021,DELHI,Delhi,16753235,Y
110022,DELHI,Delhi,16753235,Y
110023,DELHI,Delhi,16753235,Y
110024,DELHI,Delhi,16753235,Y
110025,DELHI,Delhi,16753235,Y
110026,DELHI,Delhi,16753235,Y
110027,DELHI,Delhi,16753235,Y
110028,DELHI,Delhi,16753235,Y
110029,DELHI,Delhi,16753235,Y
110030,DELHI,Delhi,16753235,Y
110031,DELHI,Delhi,16753235,Y
110032,DELHI,Delhi,16753235,Y
110033,DELHI,Delhi,16753235,Y
110034,DELHI,Delhi,16753235,Y
110035,DELHI,Delhi,16753235,Y
110036,DELHI,Delhi,16753235,Y
110037,DELHI,Delhi,16753235,Y
110038,DELHI,Delhi,16753235,Y
110039,DELHI,Delhi,16753235,Y
110040,DELHI,Delhi,16753235,Y
110041,DELHI,Delhi,16753235,Y
110042,DELHI,Delhi,16753235,Y
110043,DELHI,Delhi,16753235,Y
110044,DELHI,Delhi,16753235,Y
110045,DELHI,Delhi,16753235,Y
110046,DELHI,Delhi,16753235,Y
110047,DELHI,Delhi,16753235,Y
110048,DELHI,Delhi,16753235,Y
110049,DELHI,Delhi,16753235,Y
110051,DELHI,Delhi,16753235,Y
110052,DELHI,Delhi,16753235,Y
110053,DELHI,Delhi,16753235,Y
110054,DELHI,Delhi,16753235,Y
110055,DELHI,Delhi,16753235,Y
110056,DELHI,Delhi,16753235,Y
110057,DELHI,Delhi,16753235,Y
110058,DELHI,Delhi,16753235,Y
110059,DELHI,Delhi,16753235,Y
110060,DELHI,Delhi,16753235,Y
110061,DELHI,Delhi,16753235,Y
110062,DELHI,Delhi,16753235,Y
110063,DELHI,Delhi,16753235,Y
110064,DELHI,Delhi,16753235,Y
110065,DELHI,Delhi,16753235,Y
110066,DELHI,Delhi,16753235,Y
110067,DELHI,Delhi,16753235,Y
110068,DELHI,Delhi,16753235,Y
110069,DELHI,Delhi,16753235,Y
110070,DELHI,Delhi,16753235,Y
110071,DELHI,Delhi,16753235,Y
110072,DELHI,Delhi,16753235,Y
110073,DELHI,Delhi,16753235,Y
110074,DELHI,Delhi,16753235,Y
110075,DELHI,Delhi,16753235,Y
110076,DELHI,Delhi,16753235,Y
110077,DELHI,Delhi,16753235,Y
110078,DELHI,Delhi,16753235,Y
110080,DELHI,Delhi,16753235,Y
110081,DELHI,Delhi,16753235,Y
110082,DELHI,Delhi,16753235,Y
110083,DELHI,Delhi,16753235,Y
110084,DELHI,Delhi,16753235,Y
110085,DELHI,Delhi,16753235,Y
110086,DELHI,Delhi,16753235,Y
110087,DELHI,Delhi,16753235,Y
110088,DELHI,Delhi,16753235,Y
110089,DELHI,Delhi,16753235,Y
110090,DELHI,Delhi,16753235,Y
110091,DELHI,Delhi,16753235,Y
110092,DELHI,Delhi,16753235,Y
110093,DELHI,Delhi,16753235,Y
110094,DELHI,Delhi,16753235,Y
110095,DELHI,Delhi,16753235,Y
110096,DELHI,Delhi,16753235,Y
110097,DELHI,Delhi,16753235,Y
110099,DELHI,Delhi,16753235,Y
121001,FARIDABAD,Haryana,1471845,Y
121002,FARIDABAD,Haryana,1471845,Y
121003,FARIDABAD,Haryana,1471845,Y
121004,FARIDABAD,Haryana,1471845,Y
121005,FARIDABAD,Haryana,1471845,Y
121006,FARIDABAD,Haryana,1471845,Y
121007,FARIDABAD,Haryana,1471845,Y
121008,FARIDABAD,Haryana,1471845,Y
121009,FARIDABAD,Haryana,1471845,Y
121010,FARIDABAD,Haryana,1471845,Y
121012,FARIDABAD,Haryana,1471845,Y
121013,FARIDABAD,Haryana,1471845,Y
121014,FARIDABAD,Haryana,1471845,Y
121015,FARIDABAD,Haryana,1471845,Y
121101,FARIDABAD,Haryana,1471845,Y
121103,FARIDABAD,Haryana,1471845,Y
121105,FARIDABAD,Haryana,1471845,Y
121106,FARIDABAD,Haryana,1471845,Y
121107,FARIDABAD,Haryana,1471845,Y
122001,GURGAON,Haryana,1758008,Y
122002,GURGAON,Haryana,1758008,Y
122003,GURGAON,Haryana,1758008,Y
122004,GURGAON,Haryana,1758008,Y
122005,GURGAON,Haryana,1758008,Y
122006,GURGAON,Haryana,1758008,Y
122007,GURGAON,Haryana,1758008,Y
122008,GURGAON,Haryana,1758008,Y
122009,GURGAON,Haryana,1758008,Y
122010,GURGAON,Haryana,1758008,Y
122011,GURGAON,Haryana,1758008,Y
122012,GURGAON,Haryana,1758008,Y
122015,GURGAON,Haryana,1758008,Y
122016,GURGAON,Haryana,1758008,Y
